datetime,open,high,low,close,volume,return
20230831,49.38,49.74,48.96,49.36,350087250,0.002030044660982666
20230901,49.77,49.8,48.14,48.51,340698680,-0.017220421393841168
20230905,48.23,48.85,47.86,48.55,270381000,0.0008245722531436961
20230906,48.46,48.55,46.59,47.06,343079570,-0.03069001029866103
20230907,45.52,46.34,45.15,46.24,300620440,-0.01742456438589035
20230908,45.97,46.61,45.27,45.57,320999590,-0.014489619377162644
20230911,46.15,46.16,44.31,45.18,331029820,-0.008558262014483176
20230912,44.74,45.67,44.53,44.87,244508860,-0.006861443116423227
20230913,44.6,45.93,44.5,45.49,283788150,0.013817695564965593
20230914,45.94,45.99,45.13,45.58,256814300,0.0019784568036931294
20230915,45.34,45.6,43.81,43.9,317470940,-0.03685827117156648
20230918,42.75,44.24,42.0,43.97,369915160,0.0015945330296127658
20230919,43.83,43.97,43.0,43.52,274335960,-0.010234250625426378
20230920,43.6,43.9,42.22,42.24,264958390,-0.02941176470588236
20230921,41.59,42.1,40.98,41.02,325047270,-0.02888257575757569
20230922,41.57,42.12,41.23,41.61,345573920,0.014383227693807843
20230925,41.59,42.54,41.18,42.22,309434230,0.014659937515020482
20230926,42.01,42.82,41.66,41.91,293477670,-0.007342491710090049
20230927,42.32,42.87,41.63,42.47,336419810,0.01336196611787166
20230928,42.47,43.45,42.12,43.09,327567460,0.014598540145985606
20230929,43.83,44.14,43.31,43.5,293673940,0.009514968670224944
20231002,44.03,45.18,43.86,44.78,327219690,0.029425287356321883
20231003,44.82,45.13,43.25,43.52,351612220,-0.02813756141134427
20231004,43.74,44.14,43.29,44.04,265288770,0.011948529411764719
20231005,44.05,44.9,43.89,44.69,284563450,0.014759309718437752
20231006,44.19,45.79,44.03,45.76,304975130,0.02394271649138502
20231009,44.84,45.61,44.37,45.27,294982920,-0.01070804195804187
20231010,45.34,46.26,45.09,45.8,263006810,0.011707532582283964
20231011,46.18,46.86,46.05,46.81,276990130,0.02205240174672496
20231012,46.77,47.61,46.33,46.95,358216160,0.00299081392864764
20231013,46.96,47.12,45.28,45.46,338401020,-0.03173588924387649
20231016,45.06,46.23,44.91,46.1,270965380,0.014078310602727795
20231017,43.96,44.75,42.48,43.94,595394980,-0.046854663774403504
20231018,42.6,43.22,41.83,42.2,454739610,-0.03959945380063712
20231019,42.81,43.3,41.88,42.1,358041680,-0.0023696682464455776
20231020,41.89,42.47,41.08,41.39,354236780,-0.016864608076009535
20231023,41.25,43.25,40.95,42.98,344115680,0.03841507610533945
20231024,43.07,43.7,42.69,43.66,277551000,0.01582131223825045
20231025,43.4,43.65,41.56,41.78,273238550,-0.04306000916170394
20231026,41.87,42.26,39.88,40.33,378793670,-0.03470560076591678
20231027,41.13,41.21,40.02,40.5,307726780,0.004215224398710582
20231030,41.09,41.77,40.48,41.16,280139480,0.016296296296296253
20231031,40.42,40.88,39.23,40.78,381309780,-0.009232264334305018
20231101,40.88,42.38,40.87,42.33,316856340,0.03800882785679249
20231102,43.35,43.88,42.89,43.51,289254360,0.027876210725253925
20231103,44.02,45.31,43.72,45.01,302018180,0.0344748333716387
20231106,45.29,45.94,44.9,45.75,300826340,0.01644079093534767
20231107,45.72,46.22,45.16,45.96,249166790,0.00459016393442635
20231108,46.1,46.87,45.97,46.57,254172460,0.013272410791993039
20231109,47.46,48.23,46.75,46.95,379603110,0.008159759501825237
20231110,47.48,48.47,47.28,48.34,283007570,0.029605963791267342
20231113,48.34,49.12,48.1,48.62,278979650,0.005792304509722568
20231114,49.7,49.83,49.04,49.66,287604720,0.021390374331550888
20231115,49.93,49.96,48.2,48.89,332079220,-0.015505436971405495
20231116,48.68,49.52,48.33,49.48,238868470,0.0120679075475556
20231117,49.5,49.72,49.01,49.3,224456160,-0.003637833468067897
20231120,49.31,50.55,49.18,50.41,275749810,0.022515212981744304
20231121,50.13,50.52,49.22,49.94,331759210,-0.009323546915294578
20231122,49.85,50.34,47.69,48.72,649877200,-0.024429315178213784
20231124,48.49,48.92,47.74,47.78,205266990,-0.019293924466338264
20231127,47.79,48.53,47.65,48.24,279775740,0.009627459187944831
20231128,48.24,48.32,47.48,47.82,288173940,-0.008706467661691586
20231129,48.38,48.76,47.86,48.14,241843360,0.006691760769552468
20231130,48.02,48.11,46.42,46.77,314199160,-0.02845866223514748
20231201,46.52,47.2,46.19,46.77,253548240,0.0
20231204,46.07,46.08,45.01,45.51,307129790,-0.02694034637588205
20231205,45.47,46.6,45.27,46.57,265807780,0.023291584267194132
20231206,47.22,47.39,45.41,45.5,266186640,-0.022976164913034114
20231207,45.7,46.63,45.6,46.6,225779720,0.024175824175824312
20231208,46.61,47.74,46.55,47.51,249990700,0.019527896995708005
20231211,47.53,47.53,45.83,46.63,350868880,-0.018522416333403346
20231212,46.05,47.67,46.05,47.66,265050160,0.022088784044606458
20231213,47.63,48.59,47.61,48.09,315948980,0.00902224087284953
20231214,48.39,48.67,47.42,48.35,264878360,0.005406529423996664
20231215,48.19,49.4,48.12,48.89,308972770,0.011168562564632945
20231218,49.39,50.43,49.15,50.08,293570120,0.024340355901002253
20231219,49.42,49.7,48.9,49.6,318300230,-0.009584664536741117
20231220,49.65,50.0,48.1,48.11,285186520,-0.03004032258064515
20231221,48.8,49.1,48.42,48.99,219131220,0.01829141550613178
20231222,49.2,49.38,48.47,48.83,185940410,-0.0032659726474791873
20231226,48.97,49.6,48.96,49.28,168801420,0.009215646119189014
